"","Province","Country","Lat","Long","1/22/20_c","1/22/20_d","1/22/20_r","1/23/20_c","1/23/20_d","1/23/20_r","1/24/20_c","1/24/20_d","1/24/20_r","1/25/20_c","1/25/20_d","1/25/20_r","1/26/20_c","1/26/20_d","1/26/20_r","1/27/20_c","1/27/20_d","1/27/20_r","1/28/20_c","1/28/20_d","1/28/20_r","1/29/20_c","1/29/20_d","1/29/20_r","1/30/20_c","1/30/20_d","1/30/20_r","1/31/20_c","1/31/20_d","1/31/20_r","2/1/20_c","2/1/20_d","2/1/20_r","2/2/20_c","2/2/20_d","2/2/20_r","2/3/20_c","2/3/20_d","2/3/20_r","2/4/20_c","2/4/20_d","2/4/20_r","2/5/20_c","2/5/20_d","2/5/20_r","2/6/20_c","2/6/20_d","2/6/20_r","2/7/20_c","2/7/20_d","2/7/20_r","2/8/20_c","2/8/20_d","2/8/20_r","2/9/20_c","2/9/20_d","2/9/20_r","2/10/20_c","2/10/20_d","2/10/20_r","2/11/20_c","2/11/20_d","2/11/20_r","2/12/20_c","2/12/20_d","2/12/20_r","2/13/20_c","2/13/20_d","2/13/20_r","2/14/20_c","2/14/20_d","2/14/20_r","2/15/20_c","2/15/20_d","2/15/20_r","2/16/20_c","2/16/20_d","2/16/20_r","2/17/20_c","2/17/20_d","2/17/20_r","2/18/20_c","2/18/20_d","2/18/20_r","2/19/20_c","2/19/20_d","2/19/20_r","2/20/20_c","2/20/20_d","2/20/20_r"
"48","Orange, CA","US",33.7879,-117.8531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"49","Los Angeles, CA","US",34.0522,-118.2437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"50","New South Wales","Australia",-33.8688,151.2093,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4
"51","Victoria","Australia",-37.8136,144.9631,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4
"52","Queensland","Australia",-27.4698,153.0251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"53","","Cambodia",12.5657,104.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"54","","Sri Lanka",7.8731,80.7718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"55","","Germany",51.1657,10.4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,4,0,0,5,0,0,8,0,0,10,0,0,12,0,0,12,0,0,12,0,0,12,0,0,13,0,0,13,0,0,14,0,0,14,0,0,16,0,0,16,0,0,16,0,1,16,0,1,16,0,1,16,0,1,16,0,1,16,0,12,16,0,12,16,0,12
"56","","Finland",61.9241,25.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"57","","United Arab Emirates",23.4241,53.8478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,7,0,0,7,0,0,8,0,0,8,0,0,8,0,1,8,0,1,8,0,1,8,0,3,9,0,4,9,0,4,9,0,4,9,0,4,9,0,4
